source_id,source_url,retrieved_at,content_sha256,collection_basis,robots_checked,rights_note
src-001,https://example.com/reviews/atlas-a,2026-09-01T15:00:00Z,1111111111111111111111111111111111111111111111111111111111111111,manual_import,true,Synthetic
src-002,https://example.com/reviews/beacon-a,2026-09-01T15:00:00Z,2222222222222222222222222222222222222222222222222222222222222222,manual_import,true,Synthetic
src-003,https://example.com/reviews/cobalt-a,2026-09-01T15:00:00Z,3333333333333333333333333333333333333333333333333333333333333333,manual_import,true,Synthetic
src-004,https://example.com/reviews/atlas-c,2026-09-01T15:00:00Z,4444444444444444444444444444444444444444444444444444444444444444,manual_import,true,Synthetic
src-005,https://example.com/reviews/beacon-c,2026-09-01T15:00:00Z,5555555555555555555555555555555555555555555555555555555555555555,manual_import,true,Synthetic
src-006,https://example.com/reviews/cobalt-c,2026-09-01T15:00:00Z,6666666666666666666666666666666666666666666666666666666666666666,manual_import,true,Synthetic
src-007,https://example.com/reviews/atlas-w,2026-09-01T15:00:00Z,7777777777777777777777777777777777777777777777777777777777777777,manual_import,true,Synthetic
src-008,https://example.com/reviews/beacon-w,2026-09-01T15:00:00Z,8888888888888888888888888888888888888888888888888888888888888888,manual_import,true,Synthetic
src-009,https://example.com/reviews/cobalt-w,2026-09-01T15:00:00Z,9999999999999999999999999999999999999999999999999999999999999999,manual_import,true,Synthetic

